Run,Rep,ID,Cultivar,Measurement ,Lesion 
5,3,303,52-82B,3,58.07666667
5,3,304,386-48-3,3,167.14
5,3,305,3115L,3,215.0333333
5,3,306,Dwight,3,185.46
5,3,307,LS23X6632n,3,.
5,3,308,51-23,3,57.50666667
5,3,309,386-56-1,3,193.5
5,3,310,1212R2X,3,9.44
5,3,311,386-14-1,3,123.805
5,3,312,386-61-3,3,202.1333333
5,3,313,LS1172LLN,3,84.95
5,3,314,WS16-9138,3,83.57
5,3,315,SSR51-70,3,38.45333333
5,4,401,SSR51-70,3,85.77666667
5,4,402,386-56-1,3,67.08
5,4,403,386-14-1,3,150.135
5,4,404,3115L,3,83.40333333
5,4,405,LS23X6632n,3,.
5,4,406,386-61-3,3,153.7933333
5,4,407,Dwight,3,199.2
5,4,408,386-62-1,3,287.3066667
5,4,409,386-48-3,3,100.9266667
5,4,410,LS1172LLN,3,106.8966667
5,4,411,51-23,3,52.65666667
5,4,412,WS16-9138,3,8.833333333
5,4,413,1212R2X,3,15.84
5,4,414,52-82B,3,8.313333333
5,4,415,W82,3,241.1566667
